id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
7lmeHLHBe4nmXzuXc0HDjk,Testify,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],1,1,FALSE,0.47,0.978,7,-5.399,1,0.0727,0.0261,1.09E-05,0.356,0.503,117.906,210133,4,1999,11/2/1999
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],2,1,TRUE,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06E-05,0.155,0.489,103.68,206200,4,1999,11/2/1999
2SwgVZn9S4NGueAaEAryf1,Man on a Mission,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1,1,FALSE,0.787,0.903,0,-4.894,1,0.0315,0.292,2.48E-05,0.101,0.962,119.946,224307,4,2018,4/10/2018
0QCQ1Isa0YPVyIbs6JwpO1,Do It for Love,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],2,1,FALSE,0.587,0.958,4,-5.149,1,0.0586,0.107,0,0.0574,0.832,87.976,238000,4,2018,4/10/2018
5nvUqq0fvB0GN6mqzDc9Ey,Love Is A Matter Of Distance,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],5,1,FALSE,0.543,0.56,8,-6.982,1,0.024,0.51,0,0.0954,0.304,99.941,178027,4,2003,12/1/2003
4KepeWvq5KfZUevd0cQ70T,Dance The Night Away,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],6,1,FALSE,0.77,0.757,11,-5.386,0,0.044,0.173,8.87E-06,0.0244,0.596,99.994,245573,4,2003,12/1/2003
3VXoePG7JjYl2ay8fzLhtG,Very Kind,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],7,1,FALSE,0.77,0.288,9,-10.32,0,0.0526,0.112,0,0.164,0.44,79.962,310013,4,2003,12/1/2003
41YN3uBz1PpFNZtmAAaSKS,Free,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],8,1,FALSE,0.717,0.616,6,-8.087,0,0.0277,0.0576,0,0.0497,0.692,98.628,247067,4,2003,12/1/2003
2nO4uKyReZHH7JS61yT2nS,Going My Way,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],9,1,FALSE,0.564,0.395,11,-9.912,1,0.125,0.337,0,0.289,0.374,84.896,221347,4,2003,12/1/2003
4L4Ug6ah2UXH3JDlpeduRf,Out Of My Mind,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],10,1,FALSE,0.79,0.83,7,-7.254,1,0.0623,0.0472,0,0.13,0.945,120.955,187640,4,2003,12/1/2003
